d.nom_localidade_fam;n
JARDIM AMANDA;76
JARDIM SAO BENTO;12
JARDIM NOVA AMERICA;11
VILA REAL CONTINUACAO;11
NOVO ANGULO;10
JARDIM NOVO ANGULO;10
JARDIM NOSSA SENHORA DE FATIMA;10
JARDIM NOVA HORTOLANDIA;10
JARDIM ADELAIDE;9
JARDIM CAMPOS VERDES;9
JARDIM BOA ESPERANCA;8
PARQUE DO HORTO;8
JARDIM SUMAREZINHO;8
VILA INEMA;7
JARDIM SANTA ESMERALDA;6
JARDIM SAO SEBASTIAO;6
JARDIM SANTIAGO;6
JARDIM SANTA IZABEL;6
JARDIM NOSSA SENHORA AUXILIADORA;5
PARQUE PERON;5
JARDIM SAO CAMILO;5
JARDIM SANTA CLARA DO LAGO;5
JARDIM AMANDA 2;5
PARQUE ORESTES ONGARO;4
PARQUE ORTOLANDIA;4
JARDIM INTERLAGOS;4
PARQUE DOS PINHEIROS;4
JARDIM NOVA EUROPA;4
JARDIM SANTA AMELIA;4
VILA GUEDES;4
VILA REAL;4
PARQUE MARIA DE LOURDES;4
JARDIM SAO JORGE;3
JARDIM SANTA RITA DE CASSIA;3
VILA SAO PEDRO;3
JARDIM MINDA;3
PARQUE ORESTE ONGARO;3
JARDIM CONCEICAO;3
JARDIM BRASIL;3
RESIDENCIAL JOAO LUIZ;3
JARDIM SANTA FE;3
NOVA AMERICA;2
NUCLEO SANTA IZABEL;2
PARQUE ODIMAR;2
REMANSO CAMPINEIRO;2
RESIDENCIAL RECANTO DO SOL;2
SANTA ESMERALDA;2
TAQUARA BRANCA;2
JARDIM SANTANA;2
JARDIM ROSOLEM;2
JARDIM PRIMAVERA;2
JARDIM CARMEM CRISTINA;2
JARDIM ALINE;2
JARDIM NOVO ESTRELA;2
JARDIM MIRANTE;2
JARDIM AMANDA 1;2
JARDIM AUXILIADORA;1
PARQUE PINHEIROS;1
PARQUE SANTO ANDRE;1
PARQUE TERRAS SANTA MARIA;1
RECANTO DO SOL;1
RESIDENCIAL FURLAN;1
RESIDENCIAL JARDIM DE MONACO;1
JARDIM BOA VISTA;1
SAO SEBASTIAO;1
SANTA EMILIA;1
JARDIM AMANDA I;1
JARDIM DAS COLINAS;1
VILA DA CONQUISTA;1
VILA FLORA;1
CHACARAS ASSAY;1
CHACARA RECREIO ALVORADA;1
CHACARA NOVA BOA VISTA;1
VILA REAL SANTISTA;1
VILA SAO FRANCISCO;1
JARDIM CARMEN CRISTINA;1
JARDIM DO LADO;1
JARDIM DO BRAZ;1
MONTE SINAI;1
JARDIM RICARDO;1
JARDIM SANTO ANDRE;1
JARDIM NOVO HORIZONTE;1
JARDIM NOVO ESTRELA II;1
JARDIM SAO PEDRO;1
JARDIM NOVO ESTRELA I;1
JARDIM TERRAS DE SANTO ANTONIO;1
JD AMANDA;1
LOTEAMENTO NOVA ALVORADA;1
JARDIM NOVA ALVORADA;1
CHACARA FAZENDA COELHO;1
NOVA HORTOLANDIA;1
JARDIM NOSSA SENHORA DE LOURDES;1
JARDIM MIRANTE DE SUMARE;1
PARQUE BELLAVILLE;1
JARDIM LIRIO;1
PARQUE GABRIEL;1
PARQUE HORTOLANDIA;1
JARDIM LARANJEIRAS;1
JARDIM EVEREST;1
ADVENTISTA CAMPINEIRO;1
