d.cod_familiar_fam;idade;d.nom_localidade_fam;renda_per_capita;p.grau_instrucao;p.ind_atend_cras_memb;p.ind_atend_creas_memb;sexo
3894622768;15;JARDIM VILA REAL;173.0;2.0;;;Masculino
3894622768;14;JARDIM VILA REAL;173.0;2.0;;;Masculino
7361245358;15;VILA REAL CONTINUACAO;2399.0;2.0;;;Masculino
