d.nom_localidade_fam;inad_total;em_rio
JARDIM BOA ESPERANCA;10;9
RESIDENCIAL RECANTO DO SOL;4;4
LOTEAMENTO RECANTO DO SOL;2;1
JARDIM NOVA HORTOLANDIA;2;2
RECANTO DO SOL;2;1
JARDIM PRIMAVERA;2;0
BOA ESPERANCA;1;1
RESIDENCIAL FIRENZE;1;0
PARQUE GABRIEL;1;0
PARQUE DO HORTO;1;1
JARDIM SAO BENTO;1;0
JARDIM SAO JORGE;1;1
CHACARA PLANALTO;1;0
JARDIM SANTA FE;1;0
JARDIM NOVO ANGULO;1;0
JARDIM NOVA AMERICA;1;0
JARDIM AMANDA;1;0
VILA REAL;1;0
