tipo;pessoas;pct
Deficiência Física;3157;0.04359052247873633
Deficiência Mental / Intelectual;1837;0.025364520048602672
Transtorno Mental;1246;0.017204241687838285
Baixa Visão;636;0.008781619352700762
Surdez Leve / Moderada;304;0.004197503589970176
Cegueira;285;0.00393515961559704
Surdez Severa / Profunda;275;0.0037970838396111785
Síndrome de Down;125;0.001725947199823263
