cod_familiar;loteamento;qtd_pessoas;renda_per_capita;score_vulnerab;D1_renda;D2_analfab;D3_idoso_desprot;D4_pcd_sem_apoio;D5_crianca_0_6;meses_desatual;cadastro_vencido_2anos
3188399030;JARDIM SANTA CLARA DO LAGO;1.0;1320.0;3;0;1;1;1;0;29;1
2648493700;NOVO ANGULO;1.0;1518.0;3;0;1;1;1;0;25;1
3030890163;JARDIM AMANDA;1.0;1518.0;3;0;1;1;1;0;26;1
5889722743;JARDIM NOVA HORTOLANDIA;1.0;1518.0;3;0;1;1;1;0;26;1
5960626802;JARDIM CAMPOS VERDES;1.0;1518.0;3;0;1;1;1;0;34;1
6662505293;JARDIM AMANDA;1.0;1518.0;3;0;1;1;1;0;26;1
6937124813;PARQUE RESIDENCIAL MARIA DE LOURDES;1.0;1518.0;3;0;1;1;1;0;25;1
7551039554;JARDIM BOA ESPERANCA;1.0;1518.0;3;0;1;1;1;0;27;1
8136369305;JARDIM INTERLAGOS;1.0;1518.0;3;0;1;1;1;0;27;1
8151080280;JARDIM SANTA CLARA DO LAGO;1.0;1518.0;3;0;1;1;1;0;26;1
8155079414;JARDIM BRASIL;1.0;1729.0;3;0;1;1;1;0;26;1
7423526843;JARDIM AMANDA;1.0;2975.0;3;0;1;1;1;0;40;1
