 unidade_assistencia_bruta
CRAS PRIMAVERA CHICO VIGILANTE
CRAS JARDIM BRASIL MARIA HUMILDE ANTUNES ZUMA
CRAS SANTA CLARA
CRAS AMANDA
CRAS PRIMAVERA
CRAS NOVO ANGULO
CRAS ZUMA JD BRASIL
CRAS ROSOLEN
CRAS ROSOLEN JOEL ALVES ASSUNCAO
CRAS VILA REAL
CENTRO POP
CREAS
