id_evento,data_publicacao,fonte,titulo,pagina,municipio,localidade,tipo_camada,dimensao_analitica,tipo_relacao_variavel,codigo_variavel,nivel_criticidade,observacao,aproximacao_variavel,nota_analista,cod_loteamento,nivel_confianca_loteamento,papel_no_ciclo,id_caso_pressao,entra_ipst
Medidas protetivas,2026-03-14,Tribuna Liberal,"94 medidas protetivas em jan-fev/2026 maior volume entre 6 municipios da regiao +11,9% vs 2025",s/n,Hortolandia,nao_identificado,IVS,capital_humano,indireta,,alerta,dado_auditavel,,"94 medidas protetivas em jan-fev/2026 maior volume entre 6 municipios da regiao +11,9% vs 2025. interface_ch",nao_aplicavel,nao_aplicavel,nao_aplicavel,,nao
Homicídio em madeireira,2026-03-14,Tribuna Liberal,Homem é assassinado a tiros durante ataque a madeireira em Hortolândia,s/n,Hortolandia,nao_identificado,CONTEXTO,capital_humano,contextual,,alerta,sinal_smids_ext,,Homem é assassinado a tiros durante ataque a madeireira em Hortolândia. sinal_smids_ext,nao_aplicavel,nao_aplicavel,nao_aplicavel,,nao
Acidente fatal com motocicleta,2026-03-14,Tribuna Liberal,Adolescente morre após motocicleta bater contra poste em Hortolândia,s/n,Hortolandia,nao_identificado,CONTEXTO,capital_humano,contextual,,alerta,sinal_smids_ext,,Adolescente morre após motocicleta bater contra poste em Hortolândia. interface_ch,nao_aplicavel,nao_aplicavel,nao_aplicavel,,nao
